rank,key,canonical,n_papers,papers,sample_reference
918,garofalo_2018,Garofalo (2018),1,argenton_potters_yang_2023,"Garofalo, O., Rott, C., 2018. Shifting blame? Experimental evidence of delegating communication. Manage. Sci. 64 (8), 3911�3925."
919,gaudecker_2015,Gaudecker (2015),1,litterscheidt_financial_2020,"Gaudecker, H. M. V. (2015). How does household portfolio diversification vary with financial literacy and financial advice?. The Journal of Finance, 70(2), 489-507."
920,gazit_2023,Gazit (2023),1,chevrier_algorithm_2024,"Gazit, L., Arazy, O., and Hertz, U. (2023). Choosing between human and algorithmic advisors: The role of responsibility sharing. Computers in Human Behavior: Artificial Humans, 1(2):100009."
921,ge_2021,Ge (2021),1,kormylo_till_2025,"Ge, R., Zheng, Z., Tian, X., and Liao, L. 2021. ""Human�Robot Interaction: When Investors Adjust the Usage of Robo-Advisors in Peer-to-Peer Lending,"" Information Systems Research)."
922,gefen_2000,Gefen (2000),1,berger_watch_2021,Gefen D (2000) E-commerce: the role of familiarity and trust. Omega
923,gefen_2004,Gefen (2004),1,berger_watch_2021,"Gefen D, Straub DW (2004) Consumer trust in B2C e-Commerce and"
924,george_2014,George (2014),1,newman_eliminating_2020,"George, G., Haas, M. R., & Pentland, A. (2014). Big data and management. Academy of Management Journal, 57, 321�326. procedural justice. In J. S. Carroll (Vol. Ed.), Applied social psychology and organiza-"
925,gerhard_2017,Gerhard (2017),1,niszczota_robo-investors_2020,"28. Gerhard P, Hoffmann AOI, Post T. Past performance framing and investors' belief updating: Is seeing long-term returns always associated with smaller belief updates? Journal of Behavioral and Experimen- tal Finance. 2017; 15: 38�51. https://doi.org/10.1016/j.jbef.2017.07.007"
926,gerke_2020,Gerke (2020),1,hueholt_trusting_2026,"Gerke, S., Minssen, T., Cohen, G., 2020. Chapter 12 - ethical and legal challenges of artificial intelligence-driven healthcare. In: Bohr, A., Memarzadeh, K. (Eds.),"
927,gerlach-kristen_2011,Gerlach-Kristen (2011),1,bartling_fischbacher_schudy_2015,"Gerlach-Kristen, P., Meade, E., 2011. Is there a limit on FOMC dissents? Evidence from the Greenspan era. Working Paper."
928,germann_2023,Germann (2023),1,ivanova_stenzel_delegating_2025,"Germann, M. and Merkle, C. (2023). Algorithm aversion in delegated investing. Journal of Business Economics, 93(9):1691�1727."
929,gersen_2010,Gersen (2010),1,hill_does_2015,"Gersen, Jacob E. (2010) ""Unbundled Powers,"" 96(2) Virginia Law Rev. 301."
930,gerson_2012,Gerson (2012),1,dietvorst_algorithm_2015,"Gerson, M. (2012, November 5). Michael Gerson: The trouble with Obama's silver lining. The Washington Post. Retrieved from http:// w w w .w as h in g to n p o st.co m /o p in io n s/m ic h ae l-g ers o n -th e -tro u b le -w ith - obam as-silver-lining/2012/1 l/05/6bl058fe-276d-l Ie2-b2a0- ae 18d615"
931,gerstenberg_2011,Gerstenberg (2011),1,tsumura_effects_2026,"48. Gerstenberg, T., Ejova, A. & Lagnado, D. Blame the skilled. In Proceedings of the Annual Meeting of the Cognitive Science Society, vol. 33, 720�725 (Cognitive Science Society, Austin, TX, USA, 2011)."
932,gerstenberg_2012,Gerstenberg (2012),1,tontrup_strategic_2025,"Gerstenberg, T., & Lagnado, D. A. (2012). When contributions make a difference: Explaining order effects in responsibility attribution. Psychonomic Bulletin & Review, 19(4), 729�736."
933,gert_2005,Gert (2005),1,hueholt_trusting_2026,"Gert, B., 2005. Morality: Its Nature and Justification. Oxford University Press, http://dx.doi.org/10.1093/0195176898.001.0001. GiveWell, 2024. Top charities. https://www.givewell.org/charities/top-charities. (Accessed 18 November 2024)."
934,gibbs_2016,Gibbs (2016),1,castelo_task-dependent_2019,"Gibbs, Samuel (2016), ""Google AI Project Writes Poetry Which Could Make a Vogon Proud,"" The Guardian (May 17), https:// www.theguardian.com/technology/2016/may/17/googles-ai-write- poetry-stark-dramatic-vogons. ""Algorithm Appreciation: People Prefer Algorithmic to Human"
935,gigerenzer_1999,Gigerenzer (1999),1,burton_systematic_2020,"Gigerenzer, G., Todd, P. M., & ABC Research Group (1999). Fast and frugal"
936,gigerenzer_2001,Gigerenzer (2001),1,burton_systematic_2020,"Gigerenzer, G. (2001). Decision making: Nonrational theories. International"
937,gigerenzer_2009,Gigerenzer (2009),1,castelo_task-dependent_2019,"Gigerenzer, Gerd and Henry Brighton (2009), ""Homo Heuristicus: Why Biased Minds Make Better Inferences,"" Topics in Cognitive Science, 1 (1), 107�43. ""Resistance to Medical Artificial Intelligence,"" Journal of Con-"
938,gigerenzer_2011,Gigerenzer (2011),1,salatino_influence_2025,"58. Gigerenzer, G. & Gaissmaier, W. Heuristic decision making. Ann. Rev. Psychol. 62 (1), 451�482 (2011)."
939,gilbert_1998,Gilbert (1998),1,kirchkamp_sharing_2019,"Gilbert, P. (1998). What is shame? some core issues and controversies. In Kremer, K. and Macho, V., editors, Shame:Interpersonal Behavior, Psychopathology and Cultures, pages 3� 38. Oxford University Press, New York."
940,gill_2012,Gill (2012),1,jauernig_people_2022,"Gill, D., & Prowse, V. (2012). A structural analysis of disappointment aversion in a real effort competi- tion. American Economic Review, 102(1), 469�503."
941,gill_2020,Gill (2020),1,tontrup_strategic_2025,"Gill, T. (2020). Blame it on the self-driving car: How autonomous vehicles can alter consumer morality. Journal of Consumer Research, 47(2), 272�288."
942,gillespie_2021,Gillespie (2021),1,maasland_blame_2022,"Gillespie, N., Lockey, S., and Curtis, C. (2021). Trust in Artificial Intelligence:"
943,gilok_2013,Gilok (2013),1,chen_AI_2026,"[18] Gilok Choi and Hyewon Chung. 2013. Applying the Technology Acceptance Model to Social Networking Sites (SNS): Impact of Subjective Norm and Social Capital on the Acceptance of SNS. International Journal of Human�Computer Interaction 29, 10 (2013), 619�628. doi:10.1080/10447318.2012.756333"
944,gilovich_2002,Gilovich (2002),1,newman_eliminating_2020,"Gilovich, T., Griffin, D., & Kahneman, D. (Eds.). (2002). Heuristics and biases: The psy- chology of intuitive judgment. Cambridge, UK: Cambridge University Press. social identity, and cooperative behavior. Personality and Social Psychology Review, 7,"
945,gino_2007,Gino (2007),1,bogert_humans_2021,"20. Gino, F. & Moore, D. Effects of task difficulty on use of advice. J. Behav. Decis. Mak. 20, 21�35 (2007)."
946,gino_2009,GINO (2009),1,bartling_shifting_2012,"GINO, F., MOORE, D. and BAZERMAN, M. (2009), ""No harm, No Foul: the Outcome Bias in Ethical Judgments"""
947,gino_2013,Gino (2013),1,erat_avoiding_2013,"48  Gino, Francesca, Shahar Ayal, Dan Ariely. 2013. Self-serving altruism? the lure of unethical actions"
948,glaeser_2021,Glaeser (2021),1,dargnies_aversion_2026,"Glaeser, E. L., Hillis, A., Kim, H., Kominers, S. D. & Luca, M. (2021). Decision authority and the returns to algorithms. Harvard Business School Working Paper."
949,glaser_2007,Glaser (2007),1,litterscheidt_financial_2020,"Glaser, M., & Weber, M. (2007). Overconfidence and trading volume. The Geneva Risk and Insurance Review, 32(1), 1-36."
950,glasman_2006,Glasman (2006),1,qin_ai_2025,"Glasman, L. R., & Albarrac�n, D. (2006). Forming attitudes that predict future behavior: A meta-analysis of the attitude�behavior relation. Psychological Bulletin, 132(5), 778�822. https://doi.org/10.1037/0033-2909.132.5.778"
951,glikson_2023,Glikson (2023),1,qin_ai_2025,"Glikson, E., & Asscher, O. (2023). AI-mediated apology in a multilingual work context: Implications for perceived authenticity and willingness to forgive. Computers in Human Behavior, 140, Article 107592. https:// doi.org/10.1016/j.chb.2022.107592"
952,glock_2011,Glock (2011),1,trunk_current_2020,"Glock, Christoph H., and Simon Hochrein. 2011. Purchasing organization and design: A literature review. Business Research 4 (2): 149�191."
953,gneezy_1997,Gneezy (1997),1,litterscheidt_financial_2020,"Gneezy, U., & Potters, J. (1997). An experiment on risk taking and evaluation periods. The Quarterly Journal of Economics, 112(2), 631-645."
954,gneezy_2005,Gneezy (2005),1,erat_avoiding_2013,"52  Gneezy, Uri. 2005. Deception: The role of consequences. American Economic Review 95(1) 384394."
955,goasduff_2017,Goasduff (2017),1,castelo_task-dependent_2019,"Goasduff, Laurence (2017), ""Emotion AI Will Personalize Inter- actions,"" Gartner (January 27), https://www.gartner.com/smarter withgartner/emotion-ai-will-personalize-interactions/. Implicit Associations Between Social Categories and Non-"
956,goetzmann_2008,Goetzmann (2008),1,litterscheidt_financial_2020,"Goetzmann, W. N., & Kumar, A. (2008). Equity portfolio diversification. Review of Finance, 12(3), 433-463."
957,gogoll_2016,Gogoll (2016),1,kirchkamp_sharing_2019,"Gogoll, J. and Uhl, M. (2016). Automation and morals -- eliciting folk intuitions. Peter Lo�scher-Sti ungslehrstuhl fu�r Wirtscha sethik Working Paper Series, TU Mu�nchen."
958,goh_2016,Goh (2016),1,niszczota_robo-investors_2020,"47. Goh JX, Hall JA, Rosenthal R. Mini Meta-Analysis of Your Own Studies: Some Arguments on Why and a Primer on How. Social and Personality Psychology Compass. 2016; 10: 535�549. https://doi.org/10. 1111/spc3.12267"
959,goldbach_2019,Goldbach (2019),1,feier_hiding_2022,"Goldbach, C., Kayar, D., Pitz, T., & Sickmann, J. (2019). Transferring decisions to an algorithm: A sim-"
960,goldberg_1999,Goldberg (1999),1,goldbach_geht_2019,"Goldberg, L. R. (1999). A broad-bandwidth, public domain, personality inventory measuring the lower-level facets of several five-factor models. Personality"
961,goldberg_2006,Goldberg (2006),1,goldbach_geht_2019,"Goldberg, L. R., Johnson, J. A., Eber, H. W., Hogan, R., Ashton, M. C., Cloninger, C. R., & Gough, H. G. (2006). The international personality item pool and the future of public-domain personality measures. Journal of Research in Personality, 40(1), 84�96. https://doi.org/10.1016/j.jrp.2005.08.007."
962,goldenthal_2021,Goldenthal (2021),1,bonnefon_the_2024,"Goldenthal E, Park J, Liu SX, Mieczkowski H, Hancock JT. 2021. Not all AI are equal: exploring the"
963,goldstein_2019,Goldstein (2019),1,niszczota_robo-investors_2020,"56. Goldstein I, Jiang W, Karolyi GA. To FinTech and Beyond. Rev Financ Stud. 2019; 32: 1647�1661."
964,gomber_2018,Gomber (2018),1,kormylo_till_2025,"Gomber, P., Kauffman, R. J., Parker, C., and Weber, B. W. 2018. ""Financial Information Systems and the Fintech Revolution."" Taylor & Francis, pp. 12-18."
965,goodman_2013,Goodman (2013),1,bigman_people_2018,"Goodman, J. K., Cryder, C. E., & Cheema, A. (2013). Data collection in a flat world: The strengths and weaknesses of mechanical Turk samples. Journal of Behavioral Decision Making, 26(3), 213�224. https://doi.org/10.1002/bdm.1753."
966,goodman_2016,Goodman (2016),1,burton_systematic_2020,"Goodman, B., & Flaxman, S. (2016). European Union Regulations on Algo- rithmic Decision-Making and a ""Right to Explanation"". ArXiv Preprint,"
967,goolsbee_2018,Goolsbee (2018),1,chevrier_algorithm_2024,"Goolsbee, A. (2018). Public Policy in an AI Economy, pages 309�316. University of Chicago Press."
968,gosling_2006,Gosling (2006),1,kirchkamp_sharing_2019,"Gosling, P., Denizeau, M., and Oberle�, D. (2006). Denial of responsibility: a new mode of dissonance reduction. Journal of personality and social psychology, 90(5):722�733."
969,gratch_2022,Gratch (2022),1,jolly_not_2025,"Gratch, J., & Fast, N. J. (2022). The power to harm: AI assistants pave the way to unethical behavior. Current Opinion in Psychology, 47, Article 101382. https://d oi.o rg/1 0.1 016/j.c opsyc.2 022.1 01382"
970,gray_2009,Gray (2009),1,bigman_people_2018,"Gray, K., & Wegner, D. M. (2009). Moral typecasting: Divergent perceptions of moral agents and moral patients. Journal of Personality and Social Psychology, 96(3), 505�520. https://doi.org/10.1037/a0013748."
971,gray_2017,Gray (2017),1,bigman_people_2018,"Gray, K., Schein, C., & Cameron, C. D. (2017). How to think about emotions and morality: Circles, not arrows. Current Opinion in Psychology, 17, 41�46."
972,grech_2022,Grech (2022),1,argenton_potters_yang_2023,"Grech, P.D., Nax, H.H., Soos, A., 2022. Incentivization matters: a meta-perspective on dictator games. J. Econ. Sci. Assoc. 8 (1�2), 34�44."
973,greene_2001,Greene (2001),1,bigman_people_2018,"Greene, J. D., Sommerville, R. B., Nystrom, L. E., Darley, J. M., & Cohen, J. D. (2001). An fMRI investigation of emotional engagement in moral judgment. Science, 293(5537), 2105�2108. https://doi.org/10.1126/science.1062872."
974,greene_2002,Greene (2002),1,coffman_intermediation_2011,"Greene, Joshua D., and Jonathan Haidt. 2002. ""How (and Where) Does Moral Judgment Work?"" Trends in Cognitive Sciences, 16(12): 517�523."
975,greene_2007,Greene (2007),1,coffman_intermediation_2011,"Greene, Joshua D. 2007. ""Why are VMPFC Patients More Utilitarian? A Dual-Process Theory of Moral Judgment Explains."" Trends in Cognitive Sciences, 11(8): 322�23."
976,greenfield_2018,Greenfield (2018),1,newman_eliminating_2020,"Greenfield, R. (2018). Your raise is now based on next year's performance. Bloomberg. July 9. Retrieved from https://www.bloomberg.com. Management Journal, 15, 407�426."
977,gregor_1999,Gregor (1999),1,litterscheidt_financial_2020,"Gregor, S., & Benbasat, I. (1999). Explanations from intelligent systems: Theoretical foundations and implications for practice. MIS Quarterly, 497-530."
978,greifeneder_2011,Greifeneder (2011),1,castelo_task-dependent_2019,"Greifeneder, Rainer, Herbert Bless, and Michel Tuan Pham (2011), ""When Do People Rely on Affective and Cognitive Feelings in Judgment? A Review,"" Personality and Social Psychology Review, 15 (2), 107�41. tical Analysis and a Review of the Evidence. Minneapolis: Univer- Grove, William M., David H. Za"
979,greiner_2005,Greiner (2005),1,gogoll_rage_2018,"Greiner, B. and M. V. Levati (2005). Indirect reciprocity in cyclical networks: An experi- mental study. Journal of Economic Psychology 26 (5), 711�731."
980,greiner_2022,Greiner (2022),1,ivanova_stenzel_measuring_2024,"Greiner, B., Gr�nwald, P., Lindner, T., Lintner, G., & Wiernsperger, M. (2022). Incen-"
981,greiner_2025,Greiner (2025),1,ivanova_stenzel_delegating_2025,"Greiner, B., Gru�nwald, P., Lindner, T., Lintner, G., and Wiernsperger, M. (2025). Incentives, framing, and reliance on algorithmic advice: An experimental study. Management Science."
982,gretchen_1995,Gretchen (1995),1,chen_AI_2026,"[94] Gretchen M. Spreitzer. 1995. Psychological Empowerment in the Workplace: Dimensions, Measurement, and Validation. The Academy of Management Journal 38, 5 (1995), 1442�1465. http://www.jstor.org/stable/256865"
983,grimm_2010,Grimm (2010),1,jauernig_people_2022,"Grimm, P. (2010). Social desirability bias. Wiley international encyclopedia of marketing"
984,grosshans_2018,Grosshans (2018),1,niszczota_robo-investors_2020,"44. Grosshans D, Zeisberger S. All's well that ends well? On the importance of how returns are achieved. Journal of Banking & Finance. 2018; 87: 397�410. https://doi.org/10.1016/j.jbankfin.2017.09.021"
985,grossman_2009,Grossman (2009),1,coffman_intermediation_2011,"Grossman, Zachary. 2009. ""Self-Signaling Versus Social-Signaling in Giving."" Department of Eco- nomics, University of California at Santa Barbara, Economics Working Paper 01-09."
986,grossman_2010,Grossman (2010),1,oexl_shifting_2013,"Grossman, Z. (2010). Strategic ignorance and the robustness of social preferences (Tech. Rep. 1469100). Economics Working Paper Series, Department of Economics, University of California, Santa Bar- bara."
987,grossman_2011,Grossman (2011),1,erat_avoiding_2013,"54  Grossman, Zachary, Regine Oexl. 2011. Delegating to a powerless intermediary: Does it reduce"
988,grossman_2012,Grossman (2012),1,hill_does_2015,"Grossman, Zachary, & Regine Oexl (2012) ""Delegating to a Powerless Intermediary: Does it Reduce"
989,grossman_2015,Grossman (2015),1,kirchkamp_sharing_2019,"Grossman, Z. (2015). Self-signaling and social-signaling in giving. Journal of Economic Be- havior & Organization, 117:26�39."
990,grossman_2016,Grossman (2016),1,kirchkamp_sharing_2019,"Grossman, Z. and van der Weele, J. J. (2016). Self-Image and Willful Ignorance in Social Decisions. Journal of the European Economic Association, 15(1):173�217."
991,grote_2024,Grote (2024),1,jolly_not_2025,"Grote, G., Parker, S. K., & Crowston, K. (2024). Taming artificial intel- ligence: A theory of control-acountability alignment among AI developers and users. Academy of Management Review. https:// doi.org/10.5465/amr.2023.0117"
992,grover_2020,Grover (2020),1,mahmud_what_2022,"Grover, P., Kar, A.K., Dwivedi, Y.K., 2020. Understanding artificial intelligence adoption in operations management: insights from the review of academic literature and social media discussions. Ann. Oper. Res. 2020, 1�37. https://doi.org/10.1007/"
993,gruber_2019,Gruber (2019),1,bogert_humans_2021,"39. Gruber, K. Is the future of medical diagnosis in computer algorithms?. Lancet 1, 15�16 (2019)."
994,grundmeier_1999,Grundmeier (1999),1,pezzo_pezzo_physician_2006,"11. Grundmeier R, Johnson K. Housestaff attitudes toward computer-based clinical decision support. Proceedings of the Annual Meeting of the Medical Informatics Association, Washington, DC. 1999;266�70."
995,grzymek_2019,Grzymek (2019),1,litterscheidt_financial_2020,"Grzymek, V., & Puntschuh, M. (2019). What Europe Knows and Thinks About Algorithms. Results of a Representative Survey. [accessed on 02/07/2019] https://www.bertelsmann- stiftung.de/fileadmin/files/BSt/Publikationen/GrauePublikationen/WhatEuropeKnowsAn dThinkAboutAlgorithm.pdf"
996,guala_2002,Guala (2002),1,feier_hiding_2022,"Guala, F. (2002). On the scope of experiments in economics: Comments on Siakantaris. Cambridge Journal of Economics, 26(2), 261�267."
997,guala_2005,Guala (2005),1,feier_hiding_2022,"Guala, F., et al. (2005). The methodology of experimental economics. Cambridge University Press. G�th, W., & Kliemt, H. (2010). What ethics can learn from experimental economics if anything. European Journal of Political Economy, 26(3), 302�310."
998,guckenbiehl_2021,Guckenbiehl (2021),1,mahmud_what_2022,"Guckenbiehl, P., Corral de Zubielqui, G., Lindsay, N., 2021. Knowledge and innovation in start-up ventures: a systematic literature review and research agenda. Technol."
999,gudykunst_1995,Gudykunst (1995),1,liu_when_2021,"Gudykunst, W. B. (1995). Anxiety/uncertainty management (AUM) theory: Current status. In R. L. Wiseman (Ed.), Intercultural communication theory (pp. 8�58). Sage."
1000,guembel_2009,Guembel (2009),1,weitzner_reputational_2024,"Guembel, Alexander and Silvia Rossetto, 2009, Reputational cheap talk with misunder- standing, Games and Economic Behavior 67, 736�744."
1001,guerouaou_2022,Guerouaou (2022),1,bonnefon_the_2024,"Guerouaou N, Vaiva G, Aucouturier JJ. 2022. The shallow of your smile: the ethics of expressive vocal deep-"
1002,guiso_2002,Guiso (2002),1,litterscheidt_financial_2020,"Guiso, L., Haliassos, M., & Jappelli, T. (Eds.). (2002). Household portfolios. MIT press. Cambridge, MA."
1003,guiso_2006,Guiso (2006),1,litterscheidt_financial_2020,"Guiso, L., & Jappelli, T. (2006). Information acquisition and portfolio performance. Working Paper"
1004,guiso_2008,Guiso (2008),1,litterscheidt_financial_2020,"Guiso, L., Sapienza, P., & Zingales, L. (2008). Trusting the stock market. The Journal of Finance, 63(6), 2557-2600."
1005,haak_2017,Haak (2017),1,logg_algorithm_2019,"Haak, T. (2017). Algorithm aversion (HR trends, 2017). Retrieved March 22, 2017, from https://hrtrendinstitute.com/2017/02/13/algorithm-aversion-hr-trends-2017-5/."
1006,hackethal_2010,Hackethal (2010),1,litterscheidt_financial_2020,"Hackethal, A., Inderst, R., & Meyer, S. (2010). Trading on advice. SSRN Working Paper"
1007,hackman_1976,Hackman (1976),1,jolly_not_2025,"Hackman, J. R., & Oldham, G. R. (1976). Motivation through the design of work: test of a theory, organizational behaviour and human performance. Organizational Behavior and Human Per- formance, 16(170), 250�279."
1008,hackman_1980,Hackman (1980),1,jolly_not_2025,"Hackman, J. R., & Oldham, G. R. (1980). Work redesign. Addison-Wesley."
1009,haggard_2002,Haggard (2002),1,salatino_influence_2025,"24. Haggard, P., Clark, S. & Kalogeras, J. Voluntary action and conscious awareness. Nat. Neurosci. 5 (4), 382�385 (2002)."
1010,haggard_2009,Haggard (2009),1,salatino_influence_2025,"17. Haggard, P. & Tsakiris, M. The experience of agency: feelings, judgments, and responsibility. Curr. Dir. Psychol. Sci. 18 (4), 242�246. https://doi.org/10.1111/j.1467-8721.2009.01644.x (2009)."
1011,hagmann_2019,Hagmann (2019),1,burton_systematic_2020,"Hagmann, D., Ho, E. H., & Loewenstein, G. (2019). Nudging out support"
1012,haidt_1993,Haidt (1993),1,bigman_people_2018,"Haidt, J., Koller, S. H., & Dias, M. G. (1993). Affect, culture, and morality, or is it wrong to eat your dog? Retrieved from Journal of Personality and Social Psychology, 65(4), 613�628. <http://www.ncbi.nlm.nih.gov/pubmed/8229648>."
1013,haidt_2000,Haidt (2000),1,coffman_intermediation_2011,"Haidt, Jonathan, Fredrik Bj�rklund, and Scott Murphy. 2000. ""Moral Dumbfounding: When Intuition Finds No Reason."" Unpublished."
1014,haidt_2010,Haidt (2010),1,kirchkamp_sharing_2019,"Haidt, J. and Kesebir, S. (2010). Morality. In Fiske, S. T., Gilbert, D. T., Lindzey, G., and Jongsma, Jr., A. E., editors, Handbook of social psychology. Wiley, Hoboken, N.J."
1015,hajian_2012,Hajian (2012),1,dargnies_aversion_2026,"Hajian, S., & Domingo-Ferrer, J. (2012). A methodology for direct and indirect discrimination prevention in data mining. IEEE transactions on knowledge and data engineering, 25(7), 1445-1459."
1016,hale_2021,Hale (2021),1,hueholt_trusting_2026,"Hale, K., 2021. AI bias caused 80% of black mortgage applicants to be denied. Forbes 9, 2021."
1017,hamman_2011,Hamman (2011),1,hill_does_2015,"Hamman, John R., Roberto A. Weber, & Jonathan Woon (2011) ""An Experimental Investigation"
1018,hancock_2015,Hancock (2015),1,bonnefon_the_2024,"Hancock JT, Guillory J. 2015. Deception with technology. In The Handbook of the Psychology of Communication"
1019,hancock_2020,Hancock (2020),1,bonnefon_the_2024,"Hancock JT, Naaman M, Levy K. 2020. AI-mediated communication: definition, research agenda, and ethical"
1020,hannah_2011,Hannah (2011),1,jolly_not_2025,"Hannah, S. T., Avolio, B. J., & May, D. R. (2011). Moral maturation and moral conation: A capacity approach to explaining moral thought and action. Academy of Management Review, 36(4), 663�685. https://doi.org/10.5465/amr.2010.0128"
1021,hao_2019,Hao (2019),1,bonnefon_the_2024,"Hao K, Stray J. 2019. Can you make AI fairer than a judge? Play our courtroom algorithm game. MIT"
1022,hardy_2019,Hardy (2019),1,feier_hiding_2022,"Hardy, T. (2019). Shifting risk and shirking responsibility? The challenge of upholding employment stand- ards regulation within franchise networks. Australian Journal of Labour Law, 32(1), 62�82."
1023,harrell_2016,Harrell (2016),1,logg_algorithm_2019,"Harrell, E. (2016). Managers shouldn't fear algorithm-based decision making. Harvard Business Review."
1024,harris_2012,Harris (2012),1,bigman_people_2018,"Harris, S. (2012). Free will. New York, NY: Free Press."
1025,harrison_1998,Harrison (1998),1,chen_AI_2026,"[72] D. Harrison McKnight, Larry L. Cummings, and Norman L. Chervany. 1998. Initial Trust Formation in New Organizational Relationships. The Academy of Management Review 23, 3 (1998), 473�490. http://www.jstor.org/stable/259290"
1026,harrison_2004,Harrison (2004),1,de_quidt_measuring_2018,"Harrison, Glenn W., and John A. List. 2004. ""Field Experiments."" Journal of Economic Literature 42 (4): 1009�55."
1027,harrison_2020,Harrison (2020),1,bonnefon_the_2024,"Harrison G, Hanson J, Jacinto C, Ramirez J, Ur B. 2020. An empirical study on the perceived fairness of real- istic, imperfect machine learning models. In Proceedings of the 2020 Conference on Fairness, Accountability, and Transparency, pp. 392�402. New York: ACM Hassani BK. 2021. Societal bias rein"
1028,harsanyi_1973,Harsanyi (1973),1,weitzner_reputational_2024,"Harsanyi, John C, 1973, Games with randomly disturbed payoffs: A new rationale for mixed-strategy equilibrium points, International journal of game theory 2, 1�23."
1029,hartman_2012,Hartman (2012),1,goldbach_geht_2019,"Hartman, John L. (2012). Special issue on transport infrastructure: A route choice experiment with an efficient toll. Networks and Spatial Economics, 12(2), 205�222. https://doi.org/10.1007/s11067-009-9111-1."
1030,haruvy_2019,Haruvy (2019),1,trunk_current_2020,"Haruvy, Ernan, Elena Katok, Zhongwen Ma, and Suresh Sethi. 2019. Relationship-specific investment and hold-up problems in supply chains: Theory and experiments. Business Research 12: 45�74. https://doi.org/10.1007/s40685-018-0068-0."
1031,harvey_1997,Harvey (1997),1,logg_algorithm_2019,"Harvey, N. (1997). Confidence in judgment. Trends in Cognitive Sciences, 1(2), 78�82."
1032,harvey_2000,Harvey (2000),1,bogert_humans_2021,"37. Harvey, N., Harries, C. & Fischer, I. Using Advice and Assessing Its Quality. Organ. Behav. Hum. Decis. Process. 81, 252�273 (2000)."
1033,harvey_2017,Harvey (2017),1,niszczota_robo-investors_2020,"2. Harvey CR, Rattray S, Sinclair A, Hemert OV. Man vs. Machine: Comparing Discretionary and System- atic Hedge Fund Performance. The Journal of Portfolio Management. 2017; 43: 55�69. https://doi.org/ 10.3905/jpm.2017.43.4.055"
1034,hastie_2001,Hastie (2001),1,logg_algorithm_2019,"Hastie, R., & Dawes, R. M. (2001). Rational choice in an uncertain world: The psychology of judgment and decision making. Thousand Oaks, Calif.: Sage."
1035,hastie_2010,Hastie (2010),1,newman_eliminating_2020,"Hastie, R., & Dawes, R. M. (2010). Rational choice in an uncertain world: The psychology of judgment and decision making. Thousand Oaks, CA: SAGE Publications. esteem, and managerial behaviors following a layoff. Organizational Behavior and"
1036,hastings_2013,Hastings (2013),1,litterscheidt_financial_2020,"Hastings, J. S., Madrian, B. C., & Skimmyhorn, W. L. (2013). Financial literacy, financial education, and economic outcomes. Annual Review of Economics, 5(1), 347-373."
1037,haube_2015,Haube (2015),1,maasland_blame_2022,"Haube, J. (2015). ""HR analytics: a look inside Walmart's HR `test & learn' model."" Available at: https://community.hrdaily.com.au/profiles/blogs/hr- analytics-a-look-inside-walmart-s-hr-test-learn-model (Accessed December"
1038,hauge_2016,Hauge (2016),1,kirchkamp_sharing_2019,"Hauge, K. E. (2016). Generosity and guilt: e role of beliefs and moral standards of others. Journal of Economic Psychology, 54:35�43."
1039,hayashi_2013,Hayashi (2013),1,hill_does_2015,"Hayashi, Andrew T. (2013) ""Occasionally Libertarian: Experimental Evidence of Self-Serving Omission Bias,"" 29(3) J. of Law, Economics, & Organization 711."
1040,hayes_2013,Hayes (2013),1,steffel_passing_2016,"Hayes, A. F. (2013). Introduction to mediation, moderation, and conditional process analysis.New York, NY: Guilford Press."
1041,haynes_2012,Haynes (2012),1,shank_attributions_2019,"Haynes, M. C., & Lawrence, J. S. (2012). Who's to blame? Attributions of blame in unsuccessful"
1042,heath_1991,Heath (1991),1,dietvorst_algorithm_2015,"Heath, C., & Tversky, A. (1991). Preference and belief: Ambiguity and competence in choice under uncertainty. Journal o f Risk and Uncer tainty, 4, 5-28. http://dx.doi.org/10.1007/BF00057884"
1043,hedges_1985,Hedges (1985),1,qin_ai_2025,"Hedges, L. V., & Olkin, I. (1985). Statistical methods for meta-analysis. Academic Press."
1044,hedges_2010,Hedges (2010),1,qin_ai_2025,"Hedges, L. V., Tipton, E., & Johnson, M. C. (2010). Robust variance esti- syntheses. Social Science & Medicine, 233, 237�251. https://doi.org/10 mation in meta-regression with dependent effect size estimates. Research .1016/j.socscimed.2019.05.035"
1045,heinkelmann-wild_2020,Heinkelmann-Wild (2020),1,feier_hiding_2022,"Heinkelmann-Wild, T., & Zangl, B. (2020). Multilevel blame games: Blame- shifting in the european union. Governance, 33(4), 953�969."
1046,heires_2016,Heires (2016),1,bigman_people_2018,"Heires, K. (2016). Rise of the Robots. Retrieved March 25, 2018, from <http://www. rmmagazine.com/2016/09/01/rise-of-the-robots/>. Hellstr�m, T. (2013). On the moral responsibility of military robots. Ethics and Information Technology, 15(2), 99�107. https://doi.org/10.1007/s10676-012-9301-2."
1047,helbing_2005,Helbing (2005),1,goldbach_geht_2019,"Helbing, D., Schonhof, M., Stark, H.-U., & Holyst, J. A. (2005). How individuals learn to take turns: Emergence of alternating cooperation in a congestion game and the prisoner's dilemma. Advances in Complex Systems, 8(8), 87�116. https://doi.org/10.1142/S0219525905000361."
